vendor,pickup_zone,dropoff_zone,trip_time_by_sec,pickup_time,dropoff_time,fare,tips,total,verbose
green,15,1,6908,2020-04-17 12:24:22.180692,2020-04-17 14:19:30.180692,207.24,20.72,227.96,zfXk62LBEe5Uiw93ZfWWJPQSeRfCwL23n2hx4p1JabcLvKUfX8XpBY1FAVzsFgMLzKCnlzx6qiDAoSgeS58SQNy4cGhmrkgDOxeeQjqeZ8mC7kFwbsohw0nuWcOiMPQLJ6dAIIHc0EshgOBB3MjmBBt5KcrgFTRfiuDS0sAWqzb1vi0gMdRErZRDBV86sLbxZxueEhRUau6nndz5TZiWSQ5z7uN6KHEwcJ6xpwTsSt7JOB6EXLrl6C1gjR3rUUcipzZvVtJEPj7O5rm1DvT4wWvuMNGyKlx0Ecpyf7v3jObceVa5gnmhi4KYbnmV23apcG9btQHcsbdLreApCPbggTm9qvO3jW3p5C344ZGheuMYQJj9DziPjXJcgggcB4bK7BxBO72os4U06zIrF455DilRpU4go6CZrH32SBzCvBCA7f95FjGonEjloszYkYhZr7BLz4YsLChniD2ZUZsTc0kIWQcK0dzU84J7CJfzWyLQSL6Qtk7HP9bROVs7nbT0DR84rYsq947dcx8o4rrbnqwz7BfMKSd5HqfaCnB7J0LIyibhUqi78EhQ9eUiDEi8uIZqaK72pGEnOaW7OY5SvxnoM2M22BQFwaBKimRy4iLDTZwJup49NUC30dGaI97lvvkjWKVVSJa76Ol1Qw4qRzPVxx3kUJyzCCYD29Do2ReoDO5leKMCUDvhtNLqe6Ea7HqiFcBzaxdSGOLh31owtXOATNrMyRWQzLzzsewLNjk5m35L5ZkDH5GRC9NWJlar
yellow,11,11,6624,2020-04-17 12:24:22.181734,2020-04-17 14:14:46.181734,198.72,7.95,206.67,tUF4ESnfGANqoPeddyly9Y8LQ2hpIqpvKLcncigAqtm9eosq1PGWbAnrBYkY3x0YmPEfZ6MHGLZ2gvS8l26HzgJ7PWo2XxnPsweoEezYXKIFIYMa6hTObjsfEaIB1FkJFUwoJ51JqnLe78EGfwufDyYUM3tcAbQYUqdeB3eLZD6v2m23v1NtfMB6xxKpXcEjYtzomHoqu7U8OIiBlMnlmr0f5b5kL30bX8zggPrGvQhRaoI4B0u9Akr1SGPE7piemMUUpgKPaBZXzM6eIj8dGNzjLPv0HIpAbUsHRrYW6TJsj6WKXkb6giQEi0XsRo4KhVlBonpzPmyJtWC7x6pTNLuT9jVu3XFvpNtQVaaOOdL7ozxC5CmEW3ryHA8ghjDs4rXpGJVUonnJFzETpoDQYcN728ltuzVPj4V8Oy2Kpd36pyDmOi2c7Kx2vjSUHzMw43cU3BPnNOu1wvBR7ecYtqHVpBQ1i9gDwVkY8K8z7Xqtoh7t6ofm4sEWjfsLQXm33166mjgzCd6OKfsk6UO47Ay6ytKnR5SwegnkJI5PUdMkThQchYamogqzGA9MRJUNtUcwopdPi05AqhD5m0fzradaRohCgmC1ALWD2Ly5qCLBHVF6PStzV6L1YSYfngTYkl0iMRiVwHNrtBb8xoNmgo4v1J7F5yUlXPoOxL4TROjOblYMGgjDxzg5eWWXjdnWGlfX4wFEr19Jd5YP0uoZPe0R7oYSsEracD41go0iXxVrJKEyGvWSyYdJ6hmskZJa
blue,7,4,3222,2020-04-17 12:24:22.263175,2020-04-17 13:18:04.263175,96.66,8.70,105.36,WP0vNkJFrGrYdXj6s763prpnSP37wbdYcJejR6MRmAxcPcqDN7Q4K0S05LYHdlyLZ8m8lOyjs3U3G5xJdqd0iAJRg06sVXpKHJ4OD3KsO5SBNXBhmuFag73G2ItvzK0gog8NnCqk6Pntkayo6eP4Cu4r3P8qAAEQicO73gnp43h3To60znNYZH7SrxZ5muPLcJJTXy0hfi43XIPcW7oZwXNFDJTacbb3f1OAfDCQXAtBBPetucb3AINKme0rOPsaSDNWkQwmaZnrNd0ioQatySDU7IX4O3iZ2h756NmJRWE37DRUA1BumU9I7XhkccpjBZjftkaTcGsVA2ItsoFZM75G9GFSnZmYiuA4F7P64nCMWFRP01z3PdgocAhyyw3oNKLu6jT4UlsgDZIrs6Ga1j1SVPgB7syRisBPFrETd2yootyheONEFtcFXIErjcEbciQZznv1UlcmRvSX7QzauGnjG1jcAk7GfzKLHMRk8mqvyYfHbgnskiYB07RBh7gpkOMQtEty8Vb5sZGdQcz44Bx3VmVqwoJZCVAINUgQZthWMeF2JhTMef2uB3N3nWtu8f1CvInydkgamPlHRzXyPqoFI5ky2fVNfiYbOxFdmmv70amEzuM9Q9hNJFxE88w6E8yYiIjtgHs8qkSuLDwToDrTZdyKKM616exFCGAlf1P3bhxB5lACbVRCUo4ZHDquD9FDzmebtyOqhUtsc6juuMfHGtuj16tCo7uGItqav0sYPYycthVIAfp9KQ63Z6e1
yellow,13,4,2479,2020-04-17 12:24:22.264693,2020-04-17 13:05:41.264693,123.95,3.72,127.67,PrXC2iDJTtYwfFQ97UdN5AOmmW81wYuKMLklEyNgitzUcZ8Rw0QJ8yl1lVhlcVJW4CeX91O6MTM4r5fV7wdyDXbNK5uA2Q07hotf0NXPpFyjiX2vtaci54iL8EnoxTcpTRn6zzI4xr4ZaqqKFByG3jwRsyk8xTrIZQMzeUF2oddpLWdiTHuFi1rArsA23l6Uv4UHMCMuyGSxBHOEmIbzNJaBKb6f5PwbaoNLkqucDaA1kR9T7fJ0IIfdqcPA1QlVxwBlO5iwp0t0O3Yk8T2g50IVvzMaIuUf7IyE5ilAVmNgLpUgXFIrvY4zxC4qSUczwpArqCqJanAg2uj2NAZDAb66ikAXza81Fq5FRLuYDTOrYg8wht4A34tE5isVE0RQfDmGYrYllkl6ffELsbS3aAmuLnNr4RsjAsTFZ5P4tVEgsxrpddgvkUFPKOhCwa8SXBSHzW9S8QWEd7tYIoJRfKagJd8nUoYD7jBZjighEWS6b0maZ3eR43DacarFSuYvPBGpKR9q4PpdYBDNIinkC6ldIsbauxHsU2okr9RFFRkrBgPhaxweiKY2XzYgfU1XAHw67Znkex6dfVZ5a4h8T56DUJJJQkUNYjKx6gmr3JQhQ4ITlMS7TxGZnaArlTBdxq0kcRBHSQmzyzSkmgH3O4ueqLcHRVrj1In2wWB5X9aziOUA2X2uOlmjSkAToUKcWcQZ5ToZJ1m4OGYiTmeNkRWDT0yHOXniuSaJp6sVLVUcZlUyDJmHeSUh22WAbV1p
green,12,4,5359,2020-04-17 12:24:22.265821,2020-04-17 13:53:41.265821,214.36,8.57,222.93,7VbQeyOciquAyXIKxuh8OF1tJmD0G18KgNLxaZpwG4OEeTFipWA74kPOUxVLvV4yF0Vo8VuCJ027RlyqHLaTDQ8AmDNjaT2Hs9psQ8W18cn41yZFY4b9ju5Uz4lHSYTpqIgYji1bK8bJy4WkmhbRQfwQ1EuWy4Cjdq3YQOsNt5WKikY2jDUYarQNl24ywNlnxFWlrYKhQMkq4xziovBQ3HhahU2544ywRtcbSFxkVZ3pUT0SE2BGNbH9SS42RHxQ0whI7dn4sFSGeFUlyLuU45DpS982ajvE2eEJk3pN3B6VwUTgf58WpnvuEgMxWwa880rnhnTFCiivTVytuIyMu0xiuRAwZHW76PzJldHqb2tB94wwYl8V8DINgKvsKFRevBVmWm2ZlaxLdhJ2xDmUlwpX382RcSbI2zOfupL2c8iE3rfnBvB0woEBbqw0YFEVyth2KpIPMNqfipoH6Kchh9ZsKiouYEwiGrLFxoixe4WcdNJoff9gkKnQV7oUDL5bmZPgIjZC6nL7NqzqWXVntUH0en3r3LsGYl229zdpSbwtvMLmH5MztS92WEMSyH4Cu8Tv2RxJoHTxMG8Q0X5ujoNStC3zdLPCchMv2RRdFJPzZS2anoeRULOT3Y4z8HLLZfySHZEUDTsZQaoY6vcqrQE7891pA1ABwj7n67x1l858IG4wvtCjcnNkAiTSSd7gpqCeEpk5e1y7mDWWX4yMn6S44v1QNdlVspbak9quHwmljvTGhcDT3EkYUZW9HzVw
green,20,6,5924,2020-04-17 12:24:22.266899,2020-04-17 14:03:06.266899,296.20,14.81,311.01,MyZaoioOy4y7a0HNslcrR2UPe0cyNu5ZBoLeV2yY6K437C8zrxxHWMgpYYSxI7g95ebNuyZroQ9oIPUgFq1k1YMd1WCdRptfrTy19myBON6qK2oTkT14gQQrleAgKldfSVw4IVlAtEdNXfb8Sd8Vy1P1ATPAOC9iHGISUo8bF0der7utgbAUXeHqB1T21f6zXVZtGxsknmFms2HGRKhDK0eE3Z6XRDofaSpoYRqoGJE2FxDgCPdz0P8A88ZITUA40uwQ9H0bvgzdOHr9IObSJTz16L3pMHawgaZ1q74OcZaVYFx4w98jnFZODhgDoPGJH39KWo77uRzxYrYvEH8d7UmJYSXja2b90whysJyDdu7uNKS4dJIiBda6JkUYHLLWAzK1cSsIQ7n9q1mseY77qPoI0JtgFD9aMxkAKAweeq2uH0HXuThL5ad1VhGhSOs1Wx0JNhvPOn890PIBHAwEuD0AEToDT9GecfXraXZR1ZSAxnAQllYxi32fjlWnve1oE6bUuND5vt03deHtMPTiXpHCY00rgUcMn6h8ASShARFbY04Qo6yyAW5tbuqDrCBSIbGAuNwrnwG6xNeoxbaKVpwno28MwXBGZ1WH7urvrhOr5vx9rak56tRXCMFjIT55vBq5OdgorAGn0zF75rPmeA7FYLk6KAXsdUihQNfdZSI2j5BiHfNtWy03xsIDA5eo11rRjVnrVJ4srcOwm6f9KZwuBhPJi40CCzDru1M5G7tHEKUqBIsfNOtG0vnKTRcq
green,13,13,1446,2020-04-17 12:24:22.267937,2020-04-17 12:48:28.267937,43.38,2.17,45.55,FAh4YpigMLNQE9t8YLhzcP3QoeKVLBCAPV3yurp8fgLmHTfy3byTYV5RsprXz3IA72NRW56IogXqsOXxjKFBatTb4f80WcpZEAEbLtI8PHZeLvaBQvPmCst8RJKPHLt3wRCpK232tFjM35eA0eTDLqNihWcME6pds0Wp5A4lbO8t5WXacPkSQHFPEb7F0ojZbAGri6qsME2IWM7wvL4zf0d1cKiSU6URl4WWLKUnllBWra67KlHr9z7Perz8nGGM7IvCqM8HVfFjJUJVj5fCXzjWuBU95JZHUhvTFpXfiqMLRjZudr3EqXfKjZMCBGfmqNm1VOF3zzAjfZ5HSQz8lBlUU8nY6nxfd95FksRrJN4toMSB71OLQFvJPKbfgvJzmW6uF0qkX4qEYY0qJe4HbFq1sSeQZkZGxJbHsEv70Vuxx0TvMYp2QTfHRjJWfxShPWmh8CiS9Sq91BVB4idMx98Bxvy2EPT0XDxp7lONhaNQLdq4V5JKsXrBy076q5YdbfI7uCB2Rkig58q7PdNlzqi2LBXqAYIfyCimmea88gn4Ai1ik9M1e5eeYEaDlhaF6rPZNNqUP0OQ1x6J9Aqh5gjHyNdKkoC8wacrloNtnjn2C33hFjLkXtJtxpFNgvfb8YR4ltLIKDdMTFTPUQqWmWNAppLtytIRVuQnbp1sFG3BcbsHzwJvj2KiRbJN8Se8Rp20O33tqN8ry6eomK0eOP60fC5fRkXsv5Dqq78vuZAfzwWJFawqgKoriewyDwsL
blue,13,6,1719,2020-04-17 12:24:22.268979,2020-04-17 12:53:01.268979,85.95,8.60,94.55,Tl5ggWBgj46oVu0FsRfHJuIP8Oe0wzCpuqqYay59XLScfdeVLJKXSumkK4VYFPoOIMC4aJsoEKY5ToNwc5lUwZLlfEKDAhz3GmKC8acZAYrS8xemg78kj7BucrbgCddb8NEcTHuYw65oB8FvKpzLb8HV2ic0SuH8Pkw3waFROE7Ye4lHSON8uOIn3Gvt7A84sACiKkwhjSWEIEEl3bwbp0pcLtSDVWP1Kzzk6geM1JTnXtDh8nXHYgRyObyJfipBSZchZTHydDPdP8oYPSHUKIM85UP1Wullo414PTDzJzVQEsWgAeAkgtgcgHfzcXXE903gZIVm49QP4ZqNm2agwzhFPSriXJ5n7dppr15p14uEeqGMZfykLf1cnRlzD2hlQkjlhEwGjB9FrmTsfbKrFdMayu1ThOiSkOGmYDDALaaB0qPaTDhLda0lgiDC1w0cMsSq1Eru8xxnFHy2ScCVtmxc5LO1f9N5USV6LfWgaGRy41Ky2G1EPZvzkgz267alt6E7rarxDai7F3Keq6zAtlrgYIGlgubM3NwCPCjVLUR5PNaj88z9l7aHv6c2aVYHtudSmpQnVAU9zdrcZUj5KVTjhoTgi9BxpksZjPxevq8feyIA0ANUplj8rdcp16SEkksygA3wRNvccLx25rKETAlgqQ2JS9VZsrNLYIvgMCwWxmkfKkathkOBeYK9e2oYMDbVAddwvJAN4IkFrd7gzdDELBIOo0yVuDPPzDL47SFfDXraPJVDqawTXV1yMbBr
green,13,6,2084,2020-04-17 12:24:22.270072,2020-04-17 12:59:06.270072,62.52,2.50,65.02,IidEiTpCTQ71P33Rg4MPhX0j1bDWfJbyEDWwuot9UB27jwcxjfQlxZ23JhSEJdcnkUzZFk0m7wdIo6zwshY0137len9pzKmMANgZJd1I616CrymxupXaI3iup4K7urPy9vQbVafU2jhR4mu22z5DMgTSiDSEp20TUKS4fzATtjMRAiWzLqh2hGoMpum4MIwQDir56ZtPCoD7xKheon0rfFV3uH7gDh9o55mOxgs5hn67TDWI7lK4q0ON1A9RHx1IMq2eIxENMZ7jHBrAIxSQ05BxF9ev7d4ZvFpKqooitzdYni12jZZOToFRiwcDpMebqoSqiR81akNHlwNVKz2IyszMTryuOAkRRj3xWWStfH81xDHqkKkyvAGx3jYvxo4jrLcGQWj0Iygqp3UccCXk0LREKx1VfadxeFjgn36YXJL1Chp4cJJk6QmMSdk3zRSUuTFqqbNvdmS7J6aieM9KkI3IAbXfmigBBTl9De3Q5Z5YBhCTfHl8UiEobHKn3LTIBQ6NhBoHr3B02JWIsExguNEqs7BCp0WDslVc9b7aRqNhmYshiq8gHDLv0izzHSGMAZB3kFaObcOsbl4D6NDQNjHumUwxiAP6aP80OwOI6lqkkFUrzYodjLb8nl2MpFzXJGPaNlaxl67AKGtFDFVcT86D3HkNk8teNXhLhHLdhteX0j7paokGi8gkEP4L341KU3ZDFdTW834KB2v6wEdmeJ0eo6G4dLo6IAxBWnmlk4STVaa4igR8tpbw12flZwqc
green,18,20,469,2020-04-17 12:24:22.271546,2020-04-17 12:32:11.271546,23.45,1.64,25.09,u77XmgaOiMQfpcXaQlWXV1bae4JzvykADEmsZIPogBKkMRMcMXtb5YmMBalsP0Ue1r4YH3wlD5hAdVBvcnVWm53gwTPqCo1nfBMdQLexUcPAgSKr2qI3tzUuhcWXIvZSjuDrA734EPOkDihtUMcpUS093N6kOO4v61xETy9xt5quzJO000GfexkV11Fld59GrTkCDUblLWfqg8yA3kCUQQ1CAcr194E89qgr7UqEE8qsHRa2qRJSnjZp4z793Kup9a1JVdP4585cJeAaYgNEEmBzQygyKoan6HUV5qGLm3TQflbodYKp2xJxSFLZuhcDAYDL7tu84p9w7GhP29Cm3IivMALIzuIGpHVDyoIOplppZotIu6LIzlfBpscNyhs0Vrh2GVhh2UXqxdkxCYc6neOLVSPNmeHw36XK1fMzkhA5MAOIrwDLDEHZt56PycvYtu7ZJtsiYN4TdrLp6FFznJ4D1hDAeUMVZ1Kc9xMzMGLvE3AmqHYYZDShykBo733ktbcicnlDP1xgzbAcS5HPCRkDcYUxBeEeWcbtiiy26WATOEvmgAjTwcCjUP90KLjhjosMfNgfQ1wn5xAeQoTXLDqbwPynI0i4IbtATLzW795vMgsnUaBLXZJYiVuDdPrCBdgdYhHSK6kVYJ5sJBkoJFcSUtyxQ6lLkrTzwWSlIu3p9rhcy9tkknRW1EtwoVJWAtmLr8PLLSnwWXXDj1ScqPMT8lcUJWRPYGXFTLu0mQ3dFSMOtxH9KihAV9u1FskV
green,5,15,3426,2020-04-17 12:24:22.272986,2020-04-17 13:21:28.272986,102.78,9.25,112.03,DRcgL2ped2PdERgnd1z7I5cnaaklX5Suv9F7ShsGV1BCf9PJRun38DzbnOSnGVrmq8eDgxq9n2oDdsixQionYoj9sVgJjL6Lh6ypPkTW9pQdL6MtQNFgnocGlO42wu585dvlznB7JUhvcGOHEUiMOVLZCvR42wmP6Cpeo7qxIYfL4VB6U3RqHMOOrTCPmsIcAiFIRCZRzPXKOdxRX0oT8MpQkhnymUOcKCAzV7bgJdXmzLtfgOCuvSjLzowiGJ2lAnYNKh1Q1n2zOcYvEBWdFrdnYDre5Lmnt13780shArzd6OJVnRIH0I7vpVwfvFPEA5hHGAKcSuOuGPIWCSkYc29ro1Ilft9eldJQicirwNpzp8zQREqwDcQQQD3ZQeQEs1zqhU49SUTQ3EyeNcN9cXFTimzNnd5zc2ua5OAdbcENSRMuqcZCOBoaizZ6Tr1aWiwB7ORgIFlEXdLYnYjX1808CvA33KBgRwnsAEtm97UlThelrtzu8Ije0aywDOz21yU7QdJJwSoJ0A1k8KAk52O8FZU8IVjlJI58aFALv37K41PEb4vhDsKvd8SHGvGiuk57YatGlawueuDo3peXlyKdp1uvd6AXoXxBfBtrMZ3nCtxNSUGY7DETNuxKnmVJwXkZWbpljapkkNRBwVK7A7U4TU2gkzOFGltkEKP5sdvu48FQ6ficC9g9f8xQe0oWGFGajiJPitLrDTtoc7KCGPihP4YCQeJWSktuRPfGzmfSsYXlagGV017fkfE1thgr
blue,6,14,810,2020-04-17 12:24:22.275879,2020-04-17 12:37:52.275879,40.50,1.62,42.12,wQHuFzWrYgzVpA3K6EhOtW5BqgjFufp7isCiv9oMVW3w8VSs5jOpEfrNyt8wxtwG6YhcSEa4pr12nKX378eOvl5PxTAwf7io0JV5Ebq5VNv4cH3fiEoiqKOT9rcBDxDdgKfTxp7mPmLTjIky36ugvzInRF2PhOWV17kZPMY7jpNB0rnGvhnUwyoxLSqIPFZn4asjLc3UHTaZTmBwNrQtFI65uM9jM9dumw2zYpzcXXFNLMz0omG3OySEVxxVuXVUeSBYy4Cxj5sXbBVaHamJdweVfkWED7NyoW3HIkL4YAoRI7a2eU6XQdmZE0Kpelbhj6qrEQLIgb0rjd63IPHM3FYlXU4AebbRadaPtlVA9ggiSetE3k4wrAPIWAXGXAJQYoS8qlpGYNJQxaR2cl5Alav8xub2rLBywYmIaLADKfqVY7pdJbrNwNBNhnY7FOTVl59gM2SMS0W0UAGOb676yR0mJq5ta9eambD7AHqT115nfpzixC8BcwPOC3CdIAFJZIo0KmQUFhuOcO3M8tKe5oXycE6qJsLVAwvTCDRoAjzx33WO96cMH65zvgI4CWzhmeWHYsaxUn2HFWjLcu5NBAs1HITmb3iiILOe129NNT9q3i8VNjgeRw5pwCpfLssO6F3c2qg9YcIlDJDZh0OCm05DvYRKsFOVz25yexFRxaukZAwJJRaonmvn87YTBYdOIi6eaDIAna4av7Gksl7cOA2Y8hQpfQS9O3wykz76NIRr4G3DSqKFKr7tJCgVmQzj
yellow,11,4,1808,2020-04-17 12:24:22.277238,2020-04-17 12:54:30.277238,72.32,5.79,78.11,utjbEM8nS78eeT2cHJHCjJgWLvVgSiu1kZ5Y7NH02RBLbNIQ7avtgXXqrBI6hDEtKFVDGRZvZBuWyLAXhZ9YOaAE6O73rbyQaBWqNUUhaTabeH80B6gYygTMD1Uqo2rjeG3zJsFyQhPKbqmyNntQGurm5KINj0XuMz5lH6FhUc5ExSorbe8Vma4vipK1l53DdqDsDdGeg3n2a6xnv6WRsz9djoAE0nAzLkRtQGe2TmNEPktPeSDvD6hti0BayAHis4jE4pyq9RYA1uX6Jg8L7FZHUKAHGnz9LltCidklXBUivT5rfIK49PfrDEnqAHb5D29PdhEksHm46JOT6kjAThV5YNj93Sx7APDdPr3v3aX2Q0LHqtWkBy37cMyDFde78BEJl1FN1jLz1K1Orzr0NruD57LQ4M5lcZsLwKPo808VxPy2ABjPijZKM1lJ73wUi0MWhGkUc8ZGM1TutyBOHeVExu3Ua8vScEUb1c8JSdnQoLWfjXcaZ6ZmihFAcnQqSqgFyDVVoVZ8h96XmhD3QMHgZghD5Ipr6hUZ7VnsWhOmQWNgtWhesOGuUt3rd87LjGNdSeEqdOZ5saGMSI3rQxFBVoyzEyaB59kXGEmuFlWDFxLaFZFQELe5TgPC6kCtm2xr2eAielGmMnG9gnrmjQPY7rxB1sVKLrdTbZFAGHAnJ75zO6XnODl2XjEzbziEDR1TeBZZ4wx0rZy2OI3FUADexJZZknpV09r0kSYu6O1QAoHQAq9kEpPFWC0JGGIS
blue,17,6,1687,2020-04-17 12:24:22.278867,2020-04-17 12:52:29.278867,67.48,4.72,72.20,ojrXiciID77BLtbNvQi1yG7AMX3y4WUkOqpWFPOx7bFnrdpoubaZTtYWp0BwtpsX4agmxm7ifZjLMYVgM1ZGHGG06NjY0M7igi69wBBfE3jjG4DH12NtlQy1re1PdKpUk2pyjrj4ooF2MFteLOAQKhqSpHcy9Q1xemR9opxBXmi1mpKgWLSPGLJyPN1gODLSM6MAzPWPUVh050w9QKWkvHO22DDxONMJpvRh8U87qoP43FWTPTCj1nl4AosaNpxDgfHP3g4gJlXs1zq9OeFpXiRFFqvL5ejeiQVXPthoPN66YRe2bVhpRmBdVEaHEMR4iq6P8Sk9Xf2CBEM8k2i1EEmDAWnhW2paVToDkram2xp1XxZ01tHBH9OdVfvm1lIitQzUbAv8ubIZTm919dMx4HgO31gR6rRgcoOAYq4zFpohFvGrOGPiDj5tXCRAZpM2k5wUGhZPjSTAX8ybWY9QyNTkPoB9jrD71ZaczBXfeiqxxIFuvWxwNO3z0q2E76Yggtk1uD2z4tVZxCtqTrldRCeGst9zLgpplwfyvI2OWcJylm4raEDvWtGnaI6esLLLb89e9WKjoCLSWHdYaR2zAbFrnT339llXDsoJ3QYqf4qa77wLHcrMCW06r8DeuTUa6yDWElD0TU42KFcXWa5spJY9oCwJbtjSVD4tVlJJDwplLqwKgvbUjp3k0JDOxItdxAnM2eotn51DC3KJwU0wG2Las7kXvK1CITnvVXA3iTIvDz4AMMGWbV7ONGTnPVfU
blue,6,18,4566,2020-04-17 12:24:22.280201,2020-04-17 13:40:28.280201,136.98,9.59,146.57,cWBTD8HZto7SPhfp2limCJDt4FiRsUXQ34wk2bgeQClWhPIXCyQ1zAgxfYtL9ESTyukrsZLD0P1HBBeEQj8FNmahJUj6ORc6ipRb0iqcV0j2CkFeTmvgNHnybWmqexrrhrCRymiAtS4FpicWGMgMh2Sg2QTS1AirG6P7NsGf4FIp6WXYfv9ctzhRENpwNeAvsPJX4Tek5kL7YfVIlayTneChxlg0nzJ8Qw05lMXFQg0KYGMnXEFzVd4LNeTBmcxaSAVCDtx87iT9HBsQQTu3CnstTbLROJA37zvo2cOnJXoQcxZgZzUcC6rAeUlOImnThIeZ0OvouiKHfhufUxX3ZBslvQP33gKCN48S45TOQ0jp3bKuWGSqQEEle3nsRzASOYQIpXrUscaeTfXnuJyIhOK7cixCgbzNcGjKAOilxz7XIE0dxGPl8bbXTWvQsIeoIJYSZOTvIKzLYchMBPvGGXZXsoB08dpLQZWu6PwktgH1Tl5j8GipKX1FL8Rfy15Y530wSH48XI7GOhLkaBdqC8yOe8Vu8YLyXcZKoWkxura3NIhXODdRlCboxE7Ueq229iv9Ac1zC35UzMgfLNCpKiwCcchn48wSvU0GEuIfM9ecQj7XT3dkmYpQuAqWDsjFdKXBf9U6cB3kvzJZOL9WSp3GozjDgxUI2sGFTn8x7h1vQK7cdagLSK6bWujA8UUAOLOQMyOUkFoiIiAWf0MhHGBHYgtbGCegGHiulR6hnLC2YuYflzszCmjqsKzctsdz
blue,3,10,7006,2020-04-17 12:24:22.281480,2020-04-17 14:21:08.281480,210.18,16.81,226.99,tn1klZ5Ao7pytdCH0tAeaePpXqmZR6wJQZOY0VP77bFQYCO0TNX5OBz9MCDI2YXiBHk5MNL5rd7OKhg1bLHFcvYr6nQwhxRJgw7tHwU9trH62f8cGguDz7TfPrX0n7ISRTGAQj6FedjqV5QBMwa2062ExFXQdhQCvlZEtptPXjuvzotwtTPla4Ew6X7gs8VVkTODbCS6wyeP6Z4N03iBfzECGG7f7reSOl75ym7MvNdD2xCE12Mnc7a09URvU7NzCFzJxhy1NvwSyHVfHhOdoqwFVm0Pripnm8l2YSGp4LtkU5cqhb7kUHeqZMZ1oHFxTOGbU0Gf6HuKADpasxxWwdvoz9nybQhyDnVtxLL4YscxD7EeXTdJLbt3EF16OXfzHeJTZUpemtZNY65gKf0RuXKyus8WKxiYFqxRgKeIl5aoJUc1SgHkQlIjik6AP66Nzwi8nD5OLfa1givDqItv2UKXN5pHtk6AfNqah6LBYMoqPt88PZc2Nlmx8SPTS0kVf3zO5ciGmo70vdHG6aMnPBUXBF1RBkSmd7QhsVi2yTbzyJV4Z5IlfBEitWvCPPv2gIrknPfV6PjsLgz9v4bG1MdClQx7FJf7nIyWCTYnEmKQ4XIbszpforO2RhXlbJcFHWCBDvrAAI83q8CJygPNDZr8vGtFsQYxlKJmIM4ltG4IwhuMLwFlLRodZJWY8TKi7hHAEsY7z0l70zTaha7kWohzQEheP1qGCud4h7dhGXSd9y7D7TpojNABHl5roOEz
blue,15,14,6105,2020-04-17 12:24:22.362777,2020-04-17 14:06:07.362777,305.25,24.42,329.67,G01uaLTQMpDq4MOpBi4dAXBj0EkeoCU7tudf5rTgzOxMgHwBtURApxw2FsUGlIOzlKzr8cyZimT9zl5mFh8CltiijstWK5afF29o65OZiWJJwoo2QHTuYnXhN9jWus71bM8TZI6xOQMF3GJU3VmzGlBwAGMvdGLYdrzS6dXrhKrKa35b7IY7xdBFRBBBWuV1JT9N8P9s2tXix1xQP9wJmkKeLeoBGUFBZWIh4eH78kHPlg878fxawqx0ElznSe17tJCZ9izYQu17M3Jqwyjhcet10EE1Sa1UjDHgXm1U51zfprbvhvNND5bfbKRpr0Hb0CXmhL7uW789ClUR5dwIJyuuaCveidIGvKfkPGlD5gJT1E2p57R77WmI6J2DzLvd96OKVT8OohY0Jj6TPm5FrJe4OpkY9QEkoW3Tr0HmEhmz0qu6y90i3olXEG28gM7kgEWdI4uncsNmBA9BV1ion62e1KSPc2EYpyPy4phPeCDOk8kK8ZMgzbzNJuuISW5EeFj6M1WEQJVpNpH0vsoK4POZvn8U9PnlqgM0m1wYo0vTo9mdcLtljWJDlDkSAL93KamMDqXGt6PUbGII34A7MDEGiQOtJ6bJnVPZxIFGeYbbbJ3Yl92zYcGeUjcm6jPI1EoS8rHYCog9BU6IYrDw4yHDdmNGgZhOQdN0toNCFAZi3EHNf0BnVRtUyRNh2ooTvAxVLkyyO2PmWBwPLluaSeYfxhUiEwv3FLC0z7c7oGJpZ8w4eX8ju1BYB4aDqCia
blue,2,8,549,2020-04-17 12:24:22.363831,2020-04-17 12:33:31.363831,16.47,0.82,17.29,vzx4a8raqnNYPZYxyM2uXy9SqlO0nDsC3iFtY4M2LJWtprBSEAVmmRNSqAVQADgFjaa0GpNcCDzUD4YKazUMbI6TNg6KF0ccWowE3TD3NPaq3QMuRa2t54OX1ejAQyFicJ7vMXV3rssY0PZFxRun9RUQntXl7XTgilcynParTSQcJshzYlni5cN351OR0SOeIAsiqFGA2l8pTv13CtMSvANgYoilgwFKt1yWQahp936bqemZTM4VoOrDzbptjjoJubiY52jdFqSNucYweZbtFlNgYYWJJI2iUtwO0ZcXP07yKOELbxpieGai8aNlpvupijXxe8ZOEJrzPW0gGPrgGCoJeiv81ab4qfSABJomEpVpnls5W2Dw0Y3awWjzB3CW27eCHZoQ17Jp84nw5XZPcNDESLZihMduVO7mfB0eJi6q92Xx4mmsxreob9D3jvYW13R0eeF1jLn5g9giAfl8vcHq9VJQBBmYkyqK326ruW48MOQri8AtkQTSZuSPy2rJD2LtXL4jkDIpDDlUzmtTnr7TVCnSmdX8QB6Ty3iG23g4VXvSoDJwlHzMvwTbZyDTzLjTcS5tFEHi41K70CMHH1C7CulKq9cyNpGOWWyNlWqEIdG69Ord0CLaVdzMphzgiEEkCI83mvUrh896ri3kilAj18Ul8iUWN4a5CfnlttNOGSSLKSMlTYWPtDO9opom5bYa5EoNELCDnC78qHesk0pfdtOx3ajtwqcCY0Ierl39PWt1QX8NE9ujbiZ8hZUI
